Date,City,Shelter Type,Shelter Name,Organization,Shelter,Funded,Capacity,Overnight,Year,Month
10/24/2018 12:00:00 AM,Edmonton,Winter Emergency,Hope Mission - Herb Jamieson Winter Emergency,Hope Mission,Herb Jamieson Winter Emergency,0,,0,2018,10
10/08/2018 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,167,2018,10
08/11/2013 12:00:00 AM,Edmonton,Women Emergency,WEAC,WEAC,,66,75,65,2013,8
07/05/2013 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,66,2013,7
06/29/2018 12:00:00 AM,Edmonton,Women Emergency,WEAC,WEAC,,66,66,58,2018,6
06/04/2017 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,145,2017,6
03/23/2017 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,105,2017,3
11/11/2016 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,68,2016,11
04/13/2017 12:00:00 AM,Edmonton,Youth Emergency,Hope Mission - Youth,Hope Mission,Youth,40,60,25,2017,4
06/08/2018 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,70,2018,6
